HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N3.HOG0000535	OG0000471	n0									WP_011206501.1	WP_014580020.1	WP_014580020.1	WP_011206501.1	WP_236607960.1	WP_011290425.1	WP_179695857.1	WP_179221263.1	WP_135619151.1	WP_146379756.1	WP_011284372.1	WP_094521522.1	WP_160600749.1	WP_094521522.1	WP_094521522.1	WP_094521522.1	WP_160607746.1	WP_160606759.1	WP_160588173.1	WP_094521522.1	WP_160588173.1	WP_011206501.1		WP_014580020.1	WP_243215882.1	WP_243215882.1
N3.HOG0000536	OG0000472	n0									WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1	WP_011206218.1		WP_011206218.1	WP_011206218.1	WP_011206218.1
N3.HOG0000537	OG0000473	n0									WP_052259123.1	WP_044277969.1	WP_044277969.1	WP_052259123.1	WP_020835583.1	WP_044272343.1	WP_044272343.1	WP_179221033.1	WP_228729169.1	WP_044272343.1	WP_044272343.1	WP_160600884.1	WP_160600884.1	WP_044272343.1	WP_308704712.1	WP_228729169.1	WP_308704684.1	WP_308704598.1	WP_308507052.1	WP_228729169.1	WP_308507052.1	WP_052259123.1		WP_044277969.1	WP_160600884.1	WP_160600884.1
N3.HOG0000538	OG0000474	n0									WP_044284839.1	WP_228365390.1	WP_228365390.1	WP_044284839.1	WP_041361796.1	WP_228366105.1	WP_258556579.1	WP_240536608.1	WP_044284839.1	WP_146379684.1	WP_237697213.1	WP_233688496.1	WP_160600757.1	WP_258555926.1	WP_160590468.1	WP_146379684.1	WP_258555623.1	WP_160606407.1	WP_258555238.1	WP_146379684.1	WP_258555238.1	WP_011206344.1		WP_228365390.1	WP_228366105.1	WP_228366105.1
N3.HOG0000539	OG0000475	n0									WP_011206131.1	WP_014579582.1	WP_044277958.1	WP_011206131.1	WP_011289997.1	WP_011289997.1	WP_160584739.1	WP_179221007.1	WP_240536362.1	WP_146379480.1	WP_011283899.1	WP_233688626.1	WP_240536362.1	WP_308507022.1	WP_308704698.1	WP_308507015.1	WP_160608052.1	WP_308704616.1	WP_160588011.1	WP_160584739.1	WP_160588011.1	WP_011206131.1		WP_044277958.1	WP_233688626.1	WP_233688626.1
N3.HOG0000540	OG0000476	n0									WP_011206199.1	WP_016340212.1	WP_014579807.1	WP_011206199.1	WP_020835711.1	WP_011290189.1	WP_179696100.1	WP_011290189.1	WP_135618830.1	WP_146379609.1	WP_011284121.1	WP_233688755.1	WP_160600900.1	WP_160615546.1	WP_160590018.1	WP_160585602.1	WP_160585020.1	WP_160606475.1	WP_160587896.1	WP_160585020.1	WP_160587896.1	WP_011206199.1		WP_014579807.1	WP_243216148.1	WP_243216148.1
N3.HOG0000541	OG0000477	n0									WP_011206227.1	WP_014579841.1	WP_014579841.1	WP_011206227.1	WP_051129930.1	WP_011206227.1	WP_160587946.1	WP_011206227.1	WP_011206227.1	WP_146379591.1	WP_044284649.1	WP_011206227.1	WP_160601144.1	WP_146379591.1	WP_160590070.1	WP_011206227.1	WP_160590070.1	WP_160606609.1	WP_160587946.1	WP_160585128.1	WP_160587946.1	WP_011206227.1		WP_014579841.1	WP_011206227.1	WP_011206227.1
N3.HOG0000542	OG0000478	n0									WP_044284774.1	WP_014579723.1	WP_014579723.1	WP_044284774.1	WP_020835641.1	WP_044272395.1	WP_044284615.1	WP_179221075.1	WP_135618688.1	WP_146379556.1	WP_044284615.1	WP_233688708.1	WP_160584724.1	WP_160607804.1	WP_160590290.1	WP_146379556.1	WP_160607804.1	WP_160584724.1	WP_160588248.1	WP_160584724.1	WP_160588248.1	WP_044284774.1		WP_014579723.1	WP_044284615.1	WP_044284615.1
N3.HOG0000543	OG0000479	n0									WP_232039591.1	WP_233417361.1	WP_044277974.1	WP_232039591.1	WP_220200712.1	WP_228366124.1	WP_258556592.1	WP_237697228.1	WP_233417361.1	WP_225973014.1	WP_237697228.1	WP_011283917.1	WP_258556697.1	WP_308507047.1	WP_308507047.1	WP_308507014.1	WP_308507053.1	WP_308704602.1	WP_308507053.1	WP_225973014.1	WP_308507053.1	WP_232039591.1		WP_233417361.1	WP_237697228.1	WP_237697228.1
N3.HOG0000544	OG0000480	n0									WP_011206194.1	WP_011206194.1	WP_011206194.1	WP_011206194.1	WP_020835708.1	WP_020835708.1	WP_220200538.1	WP_020835708.1	WP_011206194.1	WP_011206194.1	WP_011206194.1	WP_011206194.1	WP_011206194.1	WP_220191254.1	WP_011206194.1	WP_020835708.1	WP_011206194.1	WP_011206194.1	WP_020835708.1	WP_011206194.1	WP_020835708.1	WP_011206194.1		WP_011206194.1	WP_243216143.1	WP_243216143.1
N3.HOG0000545	OG0000481	n0									WP_232039529.1	WP_233417344.1	WP_228365379.1	WP_232039529.1	WP_236607946.1	WP_228366136.1	WP_308705286.1	WP_240536660.1	WP_240536306.1	WP_225973042.1	WP_232039529.1	WP_232039529.1	WP_308507057.1	WP_308507027.1	WP_308704699.1	WP_308506994.1	WP_308506994.1	WP_308704593.1	WP_308507057.1	WP_308506994.1	WP_308507057.1	WP_232039529.1		WP_228365379.1	WP_243216155.1	WP_243234974.1
N3.HOG0000546	OG0000482	n0									WP_228366113.1	WP_228366113.1	WP_011206427.1	WP_228366113.1	WP_011206427.1	WP_228366113.1	WP_011206427.1	WP_240536619.1	WP_240536352.1	WP_011206427.1	WP_228366113.1	WP_011206427.1	WP_228366113.1	WP_308507029.1	WP_228366113.1	WP_308507005.1	WP_228366113.1	WP_228366113.1	WP_011206427.1	WP_011206427.1	WP_011206427.1	WP_228366113.1		WP_011206427.1	WP_228366113.1	WP_011206427.1
N3.HOG0000547	OG0000483	n0									WP_011206428.1	WP_014579968.1	WP_014579968.1	WP_011206428.1	WP_020835867.1	WP_011290370.1	WP_179695910.1	WP_135619062.1	WP_135619062.1	WP_146379720.1	WP_011284315.1	WP_233688529.1	WP_135619062.1	WP_160615589.1	WP_160588052.1	WP_160585646.1	WP_160607785.1	WP_160606709.1	WP_160588052.1	WP_160584929.1	WP_160588052.1	WP_011206428.1		WP_014579968.1	WP_243216314.1	WP_243216314.1
N3.HOG0000548	OG0000484	n0									WP_228365405.1	WP_228365405.1	WP_228365405.1	WP_228365405.1	WP_228366121.1	WP_228366121.1	WP_225973007.1	WP_240536632.1	WP_225973007.1	WP_225973007.1	WP_233688609.1	WP_233688609.1	WP_308704752.1	WP_308507023.1	WP_225973007.1	WP_225973007.1	WP_225973007.1	WP_228365405.1	WP_225973007.1	WP_225973007.1	WP_225973007.1	WP_232039506.1		WP_228365405.1	WP_233688609.1	WP_233688609.1
N3.HOG0000549	OG0000485	n0									WP_225973008.1	WP_228365406.1	WP_228365406.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_228365406.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1	WP_225973008.1		WP_228365406.1	WP_228365406.1	WP_228365406.1
N3.HOG0000550	OG0000486	n0									WP_011205900.1	WP_014579561.1	WP_014579561.1	WP_011205900.1	WP_011289979.1	WP_011289979.1	WP_011289979.1	WP_179220997.1	WP_011289979.1	WP_011289979.1	WP_011283876.1	WP_233688616.1	WP_160600681.1	WP_160615527.1	WP_160589992.1	WP_011289979.1	WP_011289979.1	WP_011289979.1	WP_011289979.1	WP_011289979.1	WP_011289979.1	WP_011205900.1		WP_014579561.1	WP_243215944.1	WP_243215944.1
N3.HOG0000551	OG0000487	n0									WP_011206302.1	WP_011206302.1	WP_011206302.1	WP_011206302.1	WP_020835794.1	WP_011290282.1	WP_011290282.1	WP_011206302.1	WP_094521719.1	WP_011290282.1	WP_011284221.1	WP_094521719.1	WP_160600961.1	WP_011290282.1	WP_011290282.1	WP_160585763.1	WP_011290282.1	WP_160606441.1	WP_160588317.1	WP_011290282.1	WP_160588317.1	WP_011206302.1		WP_011206302.1	WP_011206302.1	WP_011206302.1
N3.HOG0000552	OG0000488	n0									WP_011206418.1	WP_014579961.1	WP_014579961.1	WP_011206418.1	WP_020835860.1	WP_011290363.1	WP_179695914.1	WP_179221202.1	WP_240536351.1	WP_146379714.1	WP_011284308.1	WP_233688524.1	WP_160600923.1	WP_160615595.1	WP_160590201.1	WP_160585653.1	WP_160607787.1	WP_160606715.1	WP_020835860.1	WP_160584921.1	WP_020835860.1	WP_011206418.1		WP_014579961.1	WP_011290363.1	WP_011290363.1
N3.HOG0000553	OG0000489	n0									WP_318023859.1	WP_233417364.1	WP_233417364.1	WP_318023859.1	WP_269076336.1	WP_269076322.1	WP_308705292.1	WP_276310607.1	WP_276310470.1	WP_233417364.1	WP_269076329.1	WP_233688761.1	WP_308704679.1	WP_308507035.1	WP_308704679.1	WP_308507006.1	WP_308704679.1	WP_308704597.1	WP_308507063.1	WP_269076322.1	WP_233417364.1	WP_318023859.1		WP_088764590.1	WP_269076322.1	WP_269076322.1
N3.HOG0000554	OG0000490	n0									WP_011205855.1, WP_232039581.1	WP_228365399.1, WP_228365415.1	WP_228365399.1, WP_228365415.1	WP_011205855.1, WP_232039581.1	WP_258556516.1	WP_020835489.1	WP_258556516.1	WP_220191083.1	WP_020835489.1, WP_240536367.1	WP_225973002.1		WP_233688593.1	WP_220200887.1	WP_225973002.1, WP_240536367.1		WP_225973002.1, WP_240536367.1	WP_020835489.1	WP_233688593.1	WP_225973002.1	WP_160584842.1, WP_240536367.1	WP_225973002.1	WP_011205855.1, WP_232039581.1		WP_252862118.1, WP_252862172.1	WP_243216026.1	WP_243216026.1
N3.HOG0000555	OG0000491	n0									WP_011283834.1	WP_011283834.1		WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_146379446.1	WP_011283834.1	WP_011283834.1	WP_160585773.1	WP_011283834.1	WP_011283834.1	WP_160585773.1	WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_011283834.1	WP_011283834.1		WP_011283834.1	WP_011283834.1	WP_011283834.1
N3.HOG0000556	OG0000492	n0									WP_011205844.1	WP_011205844.1	WP_011205844.1	WP_011205844.1	WP_011289930.1	WP_011289930.1	WP_160588112.1	WP_179220976.1	WP_011205844.1	WP_146379444.1	WP_011205844.1	WP_233688587.1	WP_160588112.1	WP_011289930.1	WP_160588112.1	WP_160585775.1	WP_011289930.1	WP_011289930.1	WP_160588112.1	WP_011289930.1	WP_160588112.1	WP_011205844.1		WP_011205844.1	WP_243215913.1	WP_243215913.1
N3.HOG0000557	OG0000493	n0									WP_011205843.1	WP_011205843.1	WP_011205843.1	WP_011205843.1	WP_041361514.1	WP_044272260.1	WP_011205843.1	WP_179220975.1	WP_135618444.1	WP_044272260.1	WP_011205843.1	WP_135618444.1	WP_160588110.1	WP_044272260.1	WP_044272260.1	WP_160585776.1		WP_044272260.1	WP_160588110.1	WP_044272260.1	WP_160588110.1	WP_011205843.1		WP_011205843.1	WP_135618444.1	WP_135618444.1
N3.HOG0000558	OG0000494	n0									WP_011206527.1	WP_014580050.1	WP_014580050.1	WP_011206527.1		WP_011290449.1	WP_179695870.1	WP_179221281.1	WP_011206527.1	WP_146379773.1	WP_011206527.1	WP_160606487.1	WP_146379773.1	WP_160615740.1	WP_146379773.1	WP_160585828.1	WP_146379773.1	WP_160606487.1	WP_160584863.1	WP_160584863.1	WP_160584863.1	WP_011206527.1		WP_014580050.1	WP_243215902.1	WP_243215902.1
N3.HOG0000559	OG0000495	n0									WP_011206516.1	WP_014580041.1	WP_014580041.1	WP_011206516.1	WP_020835927.1	WP_011290437.1	WP_179695866.1	WP_240536626.1, WP_240536625.1	WP_240536358.1	WP_146379767.1	WP_011284385.1	WP_233688577.1	WP_308704754.1	WP_160615923.1		WP_160585812.1	WP_160607708.1	WP_160606921.1	WP_160588169.1	WP_160584874.1	WP_160588169.1	WP_011206516.1		WP_014580041.1	WP_243215897.1	WP_243215897.1
N3.HOG0000560	OG0000496	n0									WP_011284186.1	WP_011284186.1	WP_011284186.1	WP_011284186.1	WP_011284186.1	WP_011290248.1	WP_179696026.1	WP_011284186.1		WP_146379640.1	WP_011284186.1	WP_011284186.1	WP_160601225.1	WP_160615927.1	WP_146379640.1	WP_160585722.1	WP_160585298.1	WP_160585298.1	WP_160585722.1	WP_160585298.1	WP_160585722.1	WP_011284186.1		WP_011284186.1	WP_011284186.1	WP_011284186.1
N3.HOG0000561	OG0000497	n0									WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1		WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1	WP_011205962.1		WP_011205962.1	WP_011205962.1	WP_011205962.1
N3.HOG0000562	OG0000498	n0									WP_088172537.1	WP_011205957.1	WP_011205957.1	WP_011205957.1	WP_020835644.1	WP_044272699.1	WP_179696051.1	WP_160588252.1	WP_135618693.1	WP_146379558.1	WP_044284743.1	WP_233688710.1	WP_160588252.1	WP_160588252.1	WP_146379558.1	WP_146379558.1	WP_160588252.1	WP_160588252.1	WP_160588252.1	WP_160584727.1	WP_160588252.1	WP_011205957.1		WP_011205957.1	WP_233688710.1	WP_233688710.1
N3.HOG0000563	OG0000499	n0									WP_011205951.1	WP_014579727.1	WP_014579727.1	WP_011205951.1	WP_020835646.1	WP_020835646.1	WP_020835646.1	WP_179221077.1	WP_135618697.1	WP_146379559.1	WP_044284616.1	WP_160607802.1	WP_160600840.1	WP_160615704.1	WP_160590286.1	WP_160585672.1	WP_160607802.1	WP_160606562.1	WP_160617506.1		WP_160588262.1	WP_011205951.1		WP_252862143.1	WP_160607802.1	WP_160607802.1
N3.HOG0000564	OG0000500	n0									WP_011206125.1	WP_014579587.1	WP_014579587.1	WP_011206125.1		WP_044272311.1	WP_179695957.1	WP_179221010.1	WP_135618542.1	WP_044272311.1	WP_044284584.1	WP_233688633.1	WP_160601067.1	WP_160615953.1	WP_160590327.1	WP_160585716.1	WP_044272311.1	WP_044272311.1	WP_044272311.1	WP_044272311.1	WP_044272311.1	WP_011206125.1		WP_014579587.1	WP_243215971.1	WP_243215971.1
N3.HOG0000565	OG0000501	n0									WP_011206114.1	WP_044277961.1	WP_044277961.1	WP_011206114.1		WP_011290009.1	WP_179695965.1	WP_179221015.1	WP_135618552.1	WP_146379488.1	WP_011206114.1	WP_011206114.1	WP_011206114.1	WP_160585737.1	WP_160585737.1	WP_160585737.1	WP_160608034.1	WP_160606840.1	WP_146379488.1	WP_160585138.1	WP_146379488.1	WP_011206114.1		WP_044277961.1	WP_243215978.1	WP_179221015.1
N3.HOG0000566	OG0000502	n0									WP_052259117.1		WP_014579654.1	WP_052259117.1	WP_020835567.1	WP_052269169.1	WP_052259108.1	WP_179221022.1	WP_052259108.1	WP_052269169.1	WP_052259108.1	WP_233688644.1	WP_052259108.1	WP_052269169.1	WP_160590403.1	WP_020835567.1	WP_052259108.1	WP_160606666.1	WP_052269169.1	WP_052269169.1	WP_052269169.1	WP_052259117.1		WP_252862194.1	WP_052259108.1	WP_052259108.1
N3.HOG0000567	OG0000503	n0									WP_011206393.1	WP_014579949.1	WP_014579949.1	WP_011206393.1		WP_228366107.1	WP_228366107.1	WP_179221196.1	WP_228366107.1	WP_225972997.1	WP_011206393.1	WP_228366107.1	WP_011206393.1	WP_308507032.1		WP_225972997.1	WP_308507032.1	WP_228366107.1	WP_228366107.1	WP_225972997.1	WP_228366107.1	WP_011206393.1		WP_014579949.1	WP_228366107.1	WP_228366107.1
N3.HOG0000568	OG0000504	n0									WP_011206375.1	WP_011206375.1	WP_011206375.1	WP_011206375.1	WP_020835835.1	WP_011290327.1	WP_011206375.1	WP_011206375.1	WP_011206375.1	WP_011206375.1	WP_011284271.1	WP_011206375.1	WP_160600773.1	WP_160615655.1	WP_160590151.1	WP_011206375.1	WP_011206375.1	WP_011284271.1	WP_011206375.1	WP_160584980.1	WP_011206375.1	WP_011206375.1			WP_011284271.1	WP_011284271.1
N3.HOG0000569	OG0000505	n0									WP_011206340.1	WP_011290314.1	WP_011290314.1	WP_011206340.1	WP_011290314.1	WP_011290314.1	WP_011290314.1	WP_011290314.1		WP_011290314.1	WP_011206340.1	WP_011290314.1	WP_011206340.1	WP_011290314.1	WP_011290314.1	WP_011290314.1	WP_011290314.1	WP_011206340.1	WP_011290314.1	WP_011290314.1	WP_011290314.1	WP_011206340.1		WP_011290314.1	WP_011290314.1	WP_011290314.1
N3.HOG0000570	OG0000506	n0									WP_011206339.1	WP_014579921.1	WP_014579921.1	WP_011206339.1	WP_011290313.1	WP_011290313.1		WP_179221185.1	WP_011290313.1	WP_011290313.1	WP_011284253.1	WP_014579921.1	WP_014579921.1	WP_160615695.1	WP_160590539.1	WP_160585688.1	WP_160608116.1	WP_014579921.1	WP_011290313.1	WP_160585123.1	WP_011290313.1	WP_011206339.1		WP_014579921.1	WP_011290313.1	WP_011290313.1
N3.HOG0000571	OG0000507	n0									WP_011206333.1	WP_011206333.1	WP_011206333.1	WP_011206333.1	WP_020835817.1	WP_011206333.1	WP_179695996.1	WP_179221180.1		WP_020835817.1	WP_011284249.1	WP_011284249.1	WP_011206333.1	WP_160615689.1	WP_011206333.1	WP_011284249.1	WP_011206333.1	WP_011284249.1	WP_011206333.1	WP_020835817.1	WP_011206333.1	WP_011206333.1		WP_011206333.1	WP_011206333.1	WP_011206333.1
N3.HOG0000572	OG0000508	n0									WP_011206283.1	WP_014579876.1	WP_014579876.1	WP_011206283.1	WP_020835781.1	WP_020835781.1	WP_160606819.1	WP_179221155.1		WP_020835781.1	WP_044284669.1	WP_233688463.1	WP_020835781.1	WP_160615894.1	WP_160585153.1	WP_014579876.1	WP_020835781.1	WP_160606819.1	WP_160585153.1	WP_160585153.1	WP_160585153.1	WP_011206283.1		WP_014579876.1	WP_160585153.1	WP_160585153.1
N3.HOG0000573	OG0000509	n0									WP_011206421.1	WP_014579965.1	WP_014579965.1	WP_011206421.1	WP_020835863.1	WP_081420854.1	WP_179695912.1	WP_240536614.1	WP_318026018.1, WP_318026019.1	WP_192894280.1	WP_148166908.1	WP_233688527.1	WP_220200859.1	WP_220191265.1	WP_220200770.1	WP_220191163.1	WP_220190663.1	WP_148166908.1	WP_220190663.1	WP_220190663.1	WP_220190663.1	WP_011206421.1		WP_014579965.1		
N3.HOG0000574	OG0000510	n0									WP_011206436.1	WP_200859210.1	WP_187286312.1	WP_011206436.1	WP_020835873.1	WP_187145658.1	WP_179695908.1	WP_179221222.1	WP_187145658.1	WP_192894281.1	WP_193325076.1	WP_233688533.1	WP_220200860.1	WP_220191264.1	WP_220200769.1	WP_220191162.1	WP_220191162.1	WP_220200714.1	WP_020835873.1	WP_187145658.1	WP_020835873.1	WP_011206436.1			WP_243216321.1	WP_243216321.1
N3.HOG0000575	OG0000511	n3																	WP_240536321.1																	
N3.HOG0000576	OG0000511	n8									WP_088172529.1	WP_228365414.1, WP_014580035.1	WP_228365414.1, WP_014580035.1	WP_011206367.1	WP_020835560.1, WP_020835559.1	WP_228366095.1	WP_258556508.1		WP_240536322.1, WP_135618754.1, WP_240536323.1			WP_233688683.1	WP_160601161.1		WP_258555660.1	WP_160585708.1				WP_160584951.1		WP_129640628.1, WP_129640559.1		WP_228365414.1	WP_243216102.1	WP_243234965.1
N3.HOG0000577	OG0000512	n0									WP_011206253.1	WP_044889038.1	WP_014579852.1	WP_011206253.1	WP_011290225.1	WP_011290225.1	WP_179696022.1	WP_179221141.1	WP_135618890.1	WP_146379635.1	WP_011284175.1	WP_233688436.1	WP_160601181.1	WP_160615914.1	WP_160590305.1	WP_160585790.1	WP_160607684.1	WP_160585790.1		WP_160585244.1	WP_160588287.1	WP_011206253.1		WP_044889038.1	WP_243216192.1	WP_243216192.1
N3.HOG0000578	OG0000513	n0									WP_011206055.1	WP_011283957.1	WP_011283957.1	WP_011206055.1	WP_011290050.1	WP_011290050.1	WP_011283957.1	WP_011283957.1	WP_135618599.1	WP_146379514.1	WP_011283957.1	WP_011283957.1		WP_135618599.1	WP_146379514.1	WP_135618599.1	WP_135618599.1	WP_146379514.1	WP_146379514.1	WP_146379514.1	WP_146379514.1	WP_011206055.1		WP_011283957.1	WP_243216003.1	WP_243216003.1
N3.HOG0000579	OG0000514	n0									WP_011206051.1	WP_044277964.1	WP_044277964.1	WP_011206051.1	WP_011290053.1	WP_011290053.1	WP_146379519.1	WP_011283961.1		WP_146379519.1	WP_011283961.1	WP_146379519.1	WP_160601106.1	WP_011290053.1	WP_011290053.1	WP_011290053.1	WP_011290053.1	WP_011290053.1	WP_011290053.1	WP_011290053.1	WP_011290053.1	WP_011206051.1		WP_044277964.1	WP_011290053.1	WP_011290053.1
N3.HOG0000580	OG0000515	n0									WP_011206043.1	WP_016340190.1	WP_011206043.1	WP_011206043.1	WP_020835590.1	WP_044272353.1	WP_020835590.1	WP_160585191.1		WP_020835590.1	WP_044284598.1	WP_233688665.1	WP_160601102.1	WP_020835590.1	WP_160585191.1	WP_020835590.1	WP_020835590.1	WP_020835590.1	WP_160588078.1	WP_160585191.1	WP_160588078.1	WP_011206043.1		WP_011206043.1	WP_020835590.1	WP_020835590.1
N3.HOG0000581	OG0000516	n0									WP_011206036.1	WP_011290062.1	WP_011290062.1	WP_011206036.1	WP_011206036.1	WP_011290062.1	WP_011206036.1	WP_011206036.1	WP_135618618.1	WP_011206036.1	WP_011206036.1	WP_011206036.1	WP_160601100.1	WP_011206036.1	WP_011206036.1	WP_011206036.1	WP_011206036.1	WP_011206036.1	WP_011290062.1	WP_011290062.1	WP_011290062.1	WP_011206036.1			WP_011206036.1	WP_011206036.1
N3.HOG0000582	OG0000517	n0									WP_044284771.1	WP_011289986.1	WP_011289986.1	WP_044284771.1	WP_020835525.1	WP_011289986.1	WP_011289986.1	WP_011289986.1		WP_011289986.1	WP_011283883.1	WP_044284771.1	WP_160600691.1	WP_011289986.1	WP_011289986.1	WP_160585533.1	WP_160585533.1	WP_160606515.1	WP_011289986.1	WP_011289986.1	WP_011289986.1	WP_044284771.1		WP_011289986.1	WP_044284771.1	WP_044284771.1
N3.HOG0000583	OG0000518	n0									WP_011205913.1	WP_014579571.1	WP_014579571.1	WP_011205913.1		WP_044272294.1	WP_179695947.1	WP_160600695.1	WP_135618523.1	WP_011205913.1	WP_044284578.1	WP_160606509.1	WP_160600695.1	WP_160615519.1	WP_011205913.1	WP_160585531.1	WP_160607910.1	WP_160606509.1	WP_160585531.1	WP_160584753.1	WP_160585531.1	WP_011205913.1		WP_088764576.1	WP_243215959.1	WP_243215959.1
N3.HOG0000584	OG0000519	n0									WP_011205917.1	WP_014579573.1	WP_014579573.1	WP_011205917.1	WP_020835528.1	WP_011289989.1	WP_179695948.1	WP_160600697.1	WP_135618525.1	WP_014579573.1	WP_011283888.1	WP_011289989.1	WP_160600697.1	WP_160615517.1	WP_020835528.1	WP_014579573.1	WP_160607912.1	WP_160606507.1	WP_160588021.1	WP_160584749.1	WP_160588021.1	WP_011205917.1			WP_160600697.1	WP_160600697.1
N3.HOG0000585	OG0000520	n0									WP_011206136.1	WP_016340184.1	WP_014579578.1	WP_011206136.1	WP_011289994.1	WP_011289994.1	WP_179695951.1	WP_011283895.1	WP_135618531.1	WP_011283895.1	WP_011283895.1	WP_233688624.1	WP_160600701.1	WP_011289994.1	WP_160590005.1		WP_160608048.1	WP_011206136.1	WP_011206136.1	WP_160584743.1	WP_011206136.1	WP_129640626.1		WP_252862127.1	WP_243215963.1	WP_243215963.1
N3.HOG0000586	OG0000521	n0									WP_011206370.1, WP_088172553.1	WP_016340205.1, WP_014579769.1	WP_014579769.1	WP_011206370.1, WP_044284787.1		WP_044272413.1	WP_179696115.1	WP_179221215.1, WP_179221097.1	WP_135618759.1, WP_135618904.1		WP_044284626.1	WP_016340205.1, WP_233688728.1	WP_160601169.1	WP_160615673.1	WP_160590247.1		WP_160607934.1	WP_160606787.1		WP_160584957.1		WP_232039625.1, WP_232039616.1, WP_011206370.1, WP_044284787.1		WP_252862200.1, WP_252862196.1		
N3.HOG0000587	OG0000522	n0									WP_011206480.1	WP_014580004.1	WP_014580004.1	WP_011206480.1	WP_020835905.1	WP_011290410.1	WP_179695885.1	WP_179221251.1	WP_135619132.1		WP_044284725.1	WP_233688557.1	WP_160601209.1	WP_160615619.1	WP_160590222.1	WP_160585589.1	WP_160607732.1	WP_160606741.1	WP_160588189.1	WP_160584915.1	WP_160588189.1	WP_011206480.1		WP_014580004.1	WP_179221251.1	WP_179221251.1
N3.HOG0000588	OG0000523	n0									WP_011206479.1	WP_014580003.1	WP_014580003.1	WP_011206479.1	WP_020835904.1	WP_044272658.1	WP_308705275.1	WP_179221250.1	WP_020835904.1		WP_044284724.1	WP_020835904.1	WP_160590224.1	WP_160615617.1	WP_160590224.1	WP_160584917.1	WP_160607730.1	WP_020835904.1	WP_020835904.1	WP_160584917.1	WP_020835904.1	WP_011206479.1		WP_014580003.1	WP_243215862.1	WP_243215862.1
N3.HOG0000589	OG0000524	n0									WP_011206301.1	WP_014579890.1	WP_014579890.1	WP_011206301.1	WP_014579890.1	WP_014579890.1	WP_014579890.1	WP_014579890.1	WP_011206301.1	WP_014579890.1		WP_014579890.1	WP_014579890.1	WP_014579890.1	WP_014579890.1	WP_014579890.1	WP_160608042.1	WP_011206301.1	WP_011206301.1	WP_160585007.1	WP_011206301.1	WP_011206301.1		WP_014579890.1	WP_014579890.1	WP_014579890.1
N3.HOG0000590	OG0000525	n0									WP_011206304.1	WP_016340233.1	WP_014579892.1	WP_011206304.1	WP_020835796.1	WP_011290284.1	WP_179695981.1		WP_135618950.1	WP_146379662.1	WP_011284223.1	WP_160585006.1	WP_160600964.1	WP_160615888.1	WP_160585006.1	WP_160585006.1	WP_160585006.1	WP_160606439.1	WP_160585006.1	WP_160585006.1	WP_160585006.1	WP_011206304.1		WP_014579892.1	WP_011206304.1	WP_011206304.1
N3.HOG0000591	OG0000526	n0									WP_011206310.1	WP_014579897.1	WP_014579897.1	WP_011206310.1	WP_020835801.1		WP_179695985.1	WP_135618955.1	WP_135618955.1	WP_146379666.1	WP_011206310.1	WP_011206310.1	WP_160600972.1	WP_135618955.1	WP_011206310.1	WP_011206310.1	WP_011206310.1	WP_160606433.1	WP_160587807.1	WP_160585003.1	WP_160587807.1	WP_011206310.1		WP_252862140.1	WP_011206310.1	WP_011206310.1
